CMDLINE /home/lfgalizar/.pyenv/versions/3.10.8/bin/python3.10 sorts.py
MEM 0.625000 1694456263.3964
MEM 20.718750 1694456263.4967
MEM 20.718750 1694456263.5970
MEM 20.968750 1694456263.6973
MEM 21.218750 1694456263.7975
MEM 21.468750 1694456263.8978
MEM 21.593750 1694456263.9981
MEM 21.843750 1694456264.0983
MEM 22.093750 1694456264.1986
MEM 22.343750 1694456264.2989
MEM 22.468750 1694456264.3991
MEM 22.718750 1694456264.4994
MEM 22.968750 1694456264.5997
MEM 23.218750 1694456264.7000
MEM 23.468750 1694456264.8002
MEM 23.718750 1694456264.9005
MEM 23.968750 1694456265.0008
MEM 24.093750 1694456265.1010
MEM 24.343750 1694456265.2014
MEM 24.593750 1694456265.3016
MEM 24.843750 1694456265.4019
MEM 24.968750 1694456265.5022
MEM 25.218750 1694456265.6025
MEM 25.468750 1694456265.7028
MEM 25.718750 1694456265.8031
MEM 25.843750 1694456265.9033
MEM 26.093750 1694456266.0036
MEM 26.343750 1694456266.1040
MEM 26.593750 1694456266.2043
MEM 26.718750 1694456266.3046
MEM 26.968750 1694456266.4049
MEM 27.218750 1694456266.5051
MEM 27.468750 1694456266.6054
MEM 27.593750 1694456266.7056
MEM 27.843750 1694456266.8060
MEM 28.218750 1694456266.9062
MEM 28.468750 1694456267.0065
MEM 28.593750 1694456267.1068
MEM 28.843750 1694456267.2071
MEM 29.218750 1694456267.3074
MEM 29.468750 1694456267.4076
MEM 29.718750 1694456267.5079
MEM 29.968750 1694456267.6081
MEM 30.093750 1694456267.7084
MEM 30.343750 1694456267.8087
MEM 30.593750 1694456267.9090
MEM 30.843750 1694456268.0093
MEM 30.968750 1694456268.1096
MEM 31.218750 1694456268.2099
MEM 31.468750 1694456268.3102
MEM 31.593750 1694456268.4105
FUNC __main__.quicksort_inplace 20.7188 1694456263.5549 20.7188 1694456263.5651 0
FUNC __main__.quicksort_inplace 20.7188 1694456263.5550 20.7188 1694456263.5642 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5552 20.7188 1694456263.5556 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5553 20.7188 1694456263.5554 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5555 20.7188 1694456263.5556 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5557 20.7188 1694456263.5641 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5558 20.7188 1694456263.5629 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5559 20.7188 1694456263.5605 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5560 20.7188 1694456263.5603 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5561 20.7188 1694456263.5573 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5562 20.7188 1694456263.5567 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5563 20.7188 1694456263.5564 8
FUNC __main__.quicksort_inplace 20.7188 1694456263.5565 20.7188 1694456263.5566 8
FUNC __main__.quicksort_inplace 20.7188 1694456263.5568 20.7188 1694456263.5572 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5569 20.7188 1694456263.5569 8
FUNC __main__.quicksort_inplace 20.7188 1694456263.5570 20.7188 1694456263.5571 8
FUNC __main__.quicksort_inplace 20.7188 1694456263.5574 20.7188 1694456263.5602 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5575 20.7188 1694456263.5586 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5576 20.7188 1694456263.5576 8
FUNC __main__.quicksort_inplace 20.7188 1694456263.5577 20.7188 1694456263.5585 8
